Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
384320,566512,0,1,1,7.5,3.5,8.4,0.048
384396,566588,0,1,1,18.3,8.7,27.3,0.958
384396,567279,1,1,16,30,46,30,18.3
384398,566590,0,1,1,8,1.5,20.1,0.018
384398,567357,1,1,400,40,20,35,9.54
384416,566608,0,1,1,11.7,2,12.9,0.02
384416,567282,1,1,300,25,40,30,7.7
384423,566615,0,1,1,17.6,2.4,12.1,0.036
384423,567289,1,1,200,26,40,30,7.5
384430,566622,0,1,1,17.1,4.1,23.9,0.08
384430,567296,1,1,100,29,40,30,8.5
384462,566663,0,1,1,49.1,5.3,17.6,0.33
384462,571814,1,1,10,31.6,20.4,28.1,3.88
384468,566670,0,1,1,23.6,7.9,28.8,1.084
384478,566728,0,1,1,14.1,4.6,21.5,0.078
384482,566778,0,1,1,6.7,4.7,51.9,0.616
384490,566900,0,1,1,10,4,22.6,0.096
384490,567269,1,1,100,25.5,50,30.5,9.8
384491,566901,0,1,1,19.8,3.4,14.9,0.096
384491,567270,1,1,100,27,39.5,33.5,9
384492,566902,0,1,1,19.9,3.3,14.8,0.054
384492,567271,1,1,200,28,40.5,32.5,11.5
384493,566903,0,1,1,14.3,4.4,19.4,0.136
384493,567272,1,1,80,27.5,40.5,33.5,10.8
384494,566904,0,1,1,14.3,5.6,17.7,0.188
384494,567273,1,1,60,29,40,33.5,11
384495,566905,0,1,1,14.3,4.6,17.6,0.138
384495,567274,1,1,80,25.5,51.5,30.5,12
384496,566906,0,1,1,22.6,3.5,17.4,0.198
384496,567275,1,1,50,22,50,30.5,10.8
384543,566953,0,1,1,3.3,2.4,17.4,0.036
384549,566962,0,1,1,3.3,2.4,17.6,0.04
384551,566965,0,1,1,1.2,1.3,11.6,0.004
384560,567002,0,2,1,76.1,39.3,22.8,25.18
384603,567061,0,1,1,9.5,4.5,25.9,0.35
384775,567351,0,1,1,4.4,5.4,4.5,0.072
384851,567568,0,1,1,6.1,1.1,6.5,0.022
384867,567585,0,1,1,24.6,8.5,24.9,2.116
384937,567670,0,1,1,42.3,7.4,6.7,0.448
384938,567671,0,1,1,43.8,6.8,7.7,0.35
384939,567672,0,1,1,44.2,7.4,6.8,0.348
384940,567673,0,1,1,49.7,7.4,10.3,0.346
384978,567713,0,1,1,12.1,5,17.9,0.252
384978,705062,1,1,40,39.3,29.8,52.7,12.068
385006,567743,0,1,1,18.1,11,47.4,1.012
385095,567846,0,1,1,7.1,5.4,17.9,0.134
385095,569966,1,1,16,47,18,19,2.347
385096,567847,0,1,1,7.1,5.5,18,0.14
385096,569967,1,1,16,47,18,19,2.419
385097,567848,0,1,1,7.1,5.5,18,0.134
